Source,Date,GPE/LOC
CNN,_March_9_2022,Russia
CNN,_March_9_2022,Russia
CNN,_March_9_2022,Ukraine
CNN,_March_9_2022,Ukraine
CNN,_March_9_2022,Ukraine
CNN,_March_9_2022,Russian Federation
CNN,_March_9_2022,the Russian Federation
CNN,_March_9_2022,Ukraine
CNN,_March_9_2022,Ukraine
CNN,_March_9_2022,Russia
CNN,March_28_2022,US
CNN,March_28_2022,US
CNN,March_28_2022,Russia
CNN,_March_28_202,Ukrainian
CNN,_March_28_202,Moscow
CNN,_March_28_202,Moscow
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Istanbul
CNN,_March_28_202,Istanbul
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Berlin
CNN,_March_28_202,London
CNN,_March_28_202,Sweden
CNN,_March_28_202,Berlin
CNN,_March_28_202,Poland
CNN,_March_28_202,Ukrainian
CNN,_March_28_202,Sweden
CNN,_March_28_202,Sweden
CNN,_March_28_202,Germany
CNN,_March_28_202,the United States
CNN,_March_28_202,US
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukraine
CNN,_March_28_202,US
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Ukraine
CNN,_March_28_202,US
CNN,_March_28_202,the United States
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Turkey
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Russia
CNN,_March_28_202,Moscow
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Ukraine
CNN,_March_28_202,North and South Korea
CNN,_March_28_202,Russia
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Zhytomyr
CNN,_March_28_202,Vyshhorod
CNN,_March_28_202,Mariupol
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukrainian
CNN,_March_28_202,UK
CNN,_March_28_202,Russia
CNN,_March_28_202,Russia
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Russia
CNN,_March_28_202,Turkey
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Istanbul
CNN,_March_28_202,Istanbul
CNN,_March_28_202,Russia
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukraine
CNN,_March_28_202,Russia
CNN,_March_28_202,Russia
CNN,_March_28_202,Russia
CNN,_March_28_202,Ukrainian
CNN,March_9_2022.,Ukraine
CNN,March_9_2022.,Ukraine
CNN,March_9_2022.,Russia
CNN,March_9_2022.,Ukraine
CNN,March_9_2022.,Ukraine
CNN,March_20_2022,Satoya
CNN,March_20_2022,Kyiv
CNN,March_20_2022,Ukraine
CNN,March_20_2022,US
CNN,March_20_2022,Russia
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Russia
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Russia
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Ukraine
CNN,March_20_2022,US
CNN,March_20_2022,Ukraine
CNN,March_20_2022,US
CNN,March_20_2022,Russia
CNN,March_20_2022,Ukraine
CNN,March_20_2022,US
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Moscow
CNN,March_20_2022,Turkey
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Atlanta
CNN,March_20_2022,Lviv
CNN,March_20_2022,Turkey
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Antalya
CNN,March_20_2022,Turkey
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Russia
CNN,March_20_2022,Turkey
CNN,March_20_2022,Crimea
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Turkey
CNN,March_20_2022,Germany
CNN,March_20_2022,Turkey
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Turkey
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Russia
CNN,March_20_2022,Russia
CNN,March_20_2022,Donbas
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Ukrainian
CNN,March_20_2022,Turkey
CNN,March_20_2022,Ukrainian
CNN,March_20_2022,Lviv
CNN,March_20_2022,Russia
CNN,March_20_2022,Lviv
CNN,March_20_2022,Ukraine
CNN,March_20_2022,Lviv
CNN,March_20_2022,Russia
CNN,March_20_2022,Lviv
